date,station,oxygen
2014-05-01,CCE2,291.0413513183594
2014-05-02,CCE2,259.4547119140625
2014-05-03,CCE2,258.944580078125
2014-05-04,CCE2,249.9597625732422
2014-05-05,CCE2,242.9746856689453
2014-05-06,CCE2,236.0857391357422
2014-05-07,CCE2,251.97674560546875
2014-05-08,CCE2,260.1383972167969
2014-05-09,CCE2,243.19151306152344
2014-05-10,CCE2,253.34130859375
2014-05-11,CCE2,238.25152587890625
2014-05-12,CCE2,248.99803161621097
2014-05-13,CCE2,245.16209411621097
2014-05-14,CCE2,264.8951416015625
2014-05-15,CCE2,266.4083557128906
2014-05-16,CCE2,301.6365661621094
2014-05-17,CCE2,293.7420349121094
2014-05-18,CCE2,246.2371063232422
2014-05-19,CCE2,246.53399658203125
2014-05-20,CCE2,261.1742858886719
2014-05-21,CCE2,284.79345703125
2014-05-22,CCE2,276.3251037597656
2014-05-23,CCE2,273.2594299316406
2014-05-24,CCE2,286.347412109375
2014-05-25,CCE2,276.8870544433594
2014-05-26,CCE2,264.9992370605469
2014-05-27,CCE2,268.6470642089844
2014-05-28,CCE2,253.20904541015625
2014-05-29,CCE2,256.07989501953125
2014-05-30,CCE2,266.59515380859375
2014-05-31,CCE2,282.2007751464844
2014-06-01,CCE2,265.12713623046875
2014-06-02,CCE2,267.9017028808594
2014-06-03,CCE2,243.86480712890625
2014-06-04,CCE2,237.51812744140625
2014-06-05,CCE2,240.7967987060547
2014-06-06,CCE2,246.8094024658203
2014-06-07,CCE2,235.09071350097656
2014-06-08,CCE2,237.4371337890625
2014-06-09,CCE2,226.1884765625
2014-06-10,CCE2,236.6278839111328
2014-06-11,CCE2,278.6578063964844
2014-06-12,CCE2,329.9897766113281
2014-06-13,CCE2,262.6583557128906
2014-06-14,CCE2,262.2823486328125
2014-06-15,CCE2,286.5869445800781
2014-06-16,CCE2,275.36260986328125
2014-06-17,CCE2,259.8277282714844
2014-06-18,CCE2,247.2209014892578
2014-06-19,CCE2,248.480712890625
2014-06-20,CCE2,263.5476379394531
2014-06-21,CCE2,271.7748107910156
2014-06-22,CCE2,277.2486877441406
2014-06-23,CCE2,276.3713073730469
2014-06-24,CCE2,274.7077941894531
2014-06-25,CCE2,273.7160949707031
2014-06-26,CCE2,262.9840393066406
2014-06-27,CCE2,268.75299072265625
2014-06-28,CCE2,255.8556365966797
2014-06-29,CCE2,246.70655822753903
2014-06-30,CCE2,251.6412353515625
2014-07-01,CCE2,261.884521484375
2014-07-02,CCE2,261.4581298828125
2014-07-03,CCE2,275.49554443359375
2014-07-04,CCE2,268.6877746582031
2014-07-05,CCE2,263.8603820800781
2014-07-06,CCE2,259.79931640625
2014-07-07,CCE2,265.07293701171875
2014-07-08,CCE2,275.8389892578125
2014-07-09,CCE2,263.7543640136719
2014-07-10,CCE2,268.782958984375
2014-07-11,CCE2,268.507568359375
2014-07-12,CCE2,265.1689453125
2014-07-13,CCE2,257.6221618652344
2014-07-14,CCE2,251.85093688964844
2014-07-15,CCE2,259.0350341796875
2014-07-16,CCE2,274.0762023925781
2014-07-17,CCE2,272.3971862792969
2014-07-18,CCE2,287.379150390625
2014-07-19,CCE2,259.9195556640625
2014-07-20,CCE2,268.4621276855469
2014-07-21,CCE2,260.1156921386719
2014-07-22,CCE2,250.71693420410156
2014-07-23,CCE2,247.29200744628903
2014-07-24,CCE2,249.3538818359375
2014-07-25,CCE2,251.15782165527344
2014-07-26,CCE2,246.2457275390625
2014-07-27,CCE2,246.3556976318359
2014-07-28,CCE2,251.4695587158203
2014-07-29,CCE2,253.57440185546875
2014-07-30,CCE2,252.93931579589844
2014-07-31,CCE2,249.34510803222656
2014-08-01,CCE2,249.13739013671875
2014-08-02,CCE2,254.97605895996097
2014-08-03,CCE2,268.5625305175781
2014-08-04,CCE2,274.3467102050781
2014-08-05,CCE2,278.1673278808594
2014-08-06,CCE2,282.5343933105469
2014-08-07,CCE2,271.6825256347656
2014-08-08,CCE2,272.6247253417969
2014-08-09,CCE2,269.59967041015625
2014-08-10,CCE2,272.1576232910156
2014-08-11,CCE2,266.5349426269531
2014-08-12,CCE2,268.9134216308594
2014-08-13,CCE2,263.4847717285156
2014-08-14,CCE2,264.7808532714844
2014-08-15,CCE2,266.6603698730469
2014-08-16,CCE2,268.283447265625
2014-08-17,CCE2,259.46942138671875
2014-08-18,CCE2,249.4314117431641
2014-08-19,CCE2,244.3734893798828
2014-08-20,CCE2,243.00929260253903
2014-08-21,CCE2,248.0704345703125
2014-08-22,CCE2,252.3666534423828
2014-08-23,CCE2,264.7567443847656
2014-08-24,CCE2,266.71673583984375
2014-08-25,CCE2,277.0755920410156
2014-08-26,CCE2,280.4164123535156
2014-08-27,CCE2,277.08807373046875
2014-08-28,CCE2,280.3932800292969
2014-08-29,CCE2,272.3794860839844
2014-08-30,CCE2,272.5102844238281
2014-08-31,CCE2,265.6766052246094
2014-09-01,CCE2,256.80572509765625
2014-09-02,CCE2,255.96063232421875
2014-09-03,CCE2,258.7087097167969
2014-09-04,CCE2,266.2278137207031
2014-09-05,CCE2,263.24249267578125
2014-09-06,CCE2,261.8996887207031
2014-09-07,CCE2,249.67681884765625
2014-09-08,CCE2,252.49794006347656
2014-09-09,CCE2,250.35850524902344
2014-09-10,CCE2,256.6858215332031
