TIME,DOX2,DOX2_QC,DEPTH,station
2015-11-19,,1.0,41.0,CCE1
2015-11-20,251.17377941890427,1.0,41.0,CCE1
2015-11-21,251.6043218548471,1.0,41.0,CCE1
2015-11-22,252.1247857893303,1.0,41.0,CCE1
2015-11-23,252.6133296561459,1.0,41.0,CCE1
2015-11-24,253.00063133544077,1.0,41.0,CCE1
2015-11-25,252.82875540226485,1.0,41.0,CCE1
2015-11-26,252.35972989077024,1.0,41.0,CCE1
2015-11-27,252.41590852097235,1.0,41.0,CCE1
2015-11-28,252.33160418419217,1.0,41.0,CCE1
2015-11-29,252.58879439057839,1.0,41.0,CCE1
2015-11-30,252.98430531119212,1.0,41.0,CCE1
2015-12-01,253.06572260792393,1.0,41.0,CCE1
2015-12-02,252.83765812880992,1.0,41.0,CCE1
2015-12-03,253.09912995288434,1.0,41.0,CCE1
2015-12-04,253.10276655099383,1.0,41.0,CCE1
2015-12-05,253.7015023137036,1.0,41.0,CCE1
2015-12-06,253.64843176417324,1.0,41.0,CCE1
2015-12-07,253.74027918340926,1.0,41.0,CCE1
2015-12-08,253.93375965731948,1.0,41.0,CCE1
2015-12-09,254.24149705210024,1.0,41.0,CCE1
2015-12-10,255.27796739007468,1.0,41.0,CCE1
2015-12-11,257.5838211111775,1.0,41.0,CCE1
2015-12-12,256.3229723552185,1.0,41.0,CCE1
2015-12-13,256.24006002005177,1.0,41.0,CCE1
2015-12-14,255.74163488977385,1.0,41.0,CCE1
2015-12-15,257.21393118929416,1.0,41.0,CCE1
2015-12-16,256.89144215679465,1.0,41.0,CCE1
2015-12-17,256.20487239530513,1.0,41.0,CCE1
2015-12-18,256.72863412174763,1.0,41.0,CCE1
2015-12-19,257.1423625474668,1.0,41.0,CCE1
2015-12-20,257.277415085685,1.0,41.0,CCE1
2015-12-21,257.3753984920152,1.0,41.0,CCE1
2015-12-22,257.70593919978387,1.0,41.0,CCE1
2015-12-23,256.36547690699985,1.0,41.0,CCE1
2015-12-24,256.0614765425261,1.0,41.0,CCE1
2015-12-25,256.2091003426449,1.0,41.0,CCE1
2015-12-26,257.38217560641687,1.0,41.0,CCE1
2015-12-27,258.25968383184187,1.0,41.0,CCE1
2015-12-28,258.0734008964914,1.0,41.0,CCE1
2015-12-29,258.8869501097924,1.0,41.0,CCE1
2015-12-30,260.5562520464733,1.0,41.0,CCE1
2015-12-31,260.5083675927544,1.0,41.0,CCE1
2016-01-01,258.92794125869244,1.0,41.0,CCE1
2016-01-02,259.0997724114364,1.0,41.0,CCE1
2016-01-03,256.19460753988665,1.0,41.0,CCE1
2016-01-04,256.247589244414,1.0,41.0,CCE1
2016-01-05,255.91611081429164,1.0,41.0,CCE1
2016-01-06,258.88962591822,1.0,41.0,CCE1
2016-01-07,260.2402467414538,1.0,41.0,CCE1
2016-01-08,262.03339676477003,1.0,41.0,CCE1
2016-01-09,262.3431802696259,1.0,41.0,CCE1
2016-01-10,262.6541321939185,1.0,41.0,CCE1
2016-01-11,263.19743047450663,1.0,41.0,CCE1
2016-01-12,262.84176606630166,1.0,41.0,CCE1
2016-01-13,262.29654582738914,1.0,41.0,CCE1
2016-01-14,257.7971188635675,1.0,41.0,CCE1
2016-01-15,263.1779803617321,1.0,41.0,CCE1
2016-01-16,262.3873463931319,1.0,41.0,CCE1
2016-01-17,260.170656436589,1.0,41.0,CCE1
2016-01-18,260.2524526998214,1.0,41.0,CCE1
2016-01-19,259.193618216748,1.0,41.0,CCE1
2016-01-20,260.34410480048115,1.0,41.0,CCE1
2016-01-21,260.86783027169514,1.0,41.0,CCE1
2016-01-22,264.0274574868876,1.0,41.0,CCE1
2016-01-23,264.3060537848998,1.0,41.0,CCE1
2016-01-24,258.8935309283176,1.0,41.0,CCE1
2016-01-25,258.73651480528673,1.0,41.0,CCE1
2016-01-26,262.459930257484,1.0,41.0,CCE1
2016-01-27,264.2108382269002,1.0,41.0,CCE1
2016-01-28,262.93813655133147,1.0,41.0,CCE1
2016-01-29,265.54039174826113,1.0,41.0,CCE1
2016-01-30,264.4440142107809,1.0,41.0,CCE1
2016-01-31,258.7027438262123,1.0,41.0,CCE1
2016-02-01,262.17572829583116,1.0,41.0,CCE1
2016-02-02,263.8140964768765,1.0,41.0,CCE1
2016-02-03,267.1806275042257,1.0,41.0,CCE1
2016-02-04,267.7252471808928,1.0,41.0,CCE1
2016-02-05,268.6130724194809,1.0,41.0,CCE1
2016-02-06,268.2415253383305,1.0,41.0,CCE1
2016-02-07,268.3447070543933,1.0,41.0,CCE1
2016-02-08,269.7415532198524,1.0,41.0,CCE1
2016-02-09,268.00740016502726,1.0,41.0,CCE1
2016-02-10,269.8968389375737,1.0,41.0,CCE1
2016-02-11,274.5972885446815,1.0,41.0,CCE1
2016-02-12,269.00517919458747,1.0,41.0,CCE1
2016-02-13,264.4305953878019,1.0,41.0,CCE1
2016-02-14,266.4776852365194,1.0,41.0,CCE1
2016-02-15,266.27717174388346,1.0,41.0,CCE1
2016-02-16,264.5164278690995,1.0,41.0,CCE1
2016-02-17,266.3807508344558,1.0,41.0,CCE1
2016-02-18,264.99404396813867,1.0,41.0,CCE1
2016-02-19,265.88021147733235,1.0,41.0,CCE1
2016-02-20,266.6394741900647,1.0,41.0,CCE1
2016-02-21,265.4794759019871,1.0,41.0,CCE1
2016-02-22,267.11265944141,1.0,41.0,CCE1
2016-02-23,269.86883215149146,1.0,41.0,CCE1
2016-02-24,271.0795685274956,1.0,41.0,CCE1
2016-02-25,274.4781223843352,1.0,41.0,CCE1
2016-02-26,271.9853635862716,1.0,41.0,CCE1
2016-02-27,269.8054428892222,1.0,41.0,CCE1
2016-02-28,270.91842632944895,1.0,41.0,CCE1
2016-02-29,271.7133795580229,1.0,41.0,CCE1
2016-03-01,272.9200566731575,1.0,41.0,CCE1
2016-03-02,273.5453272983679,1.0,41.0,CCE1
2016-03-03,271.39881859803086,1.0,41.0,CCE1
2016-03-04,269.6499083394995,1.0,41.0,CCE1
2016-03-05,269.85210817615297,1.0,41.0,CCE1
2016-03-06,270.2084195145841,1.0,41.0,CCE1
2016-03-07,266.85366851097683,1.0,41.0,CCE1
2016-03-08,268.62955024956096,1.0,41.0,CCE1
2016-03-09,271.3370072115707,1.0,41.0,CCE1
2016-03-10,271.08412431695007,1.0,41.0,CCE1
2016-03-11,270.5192952705071,1.0,41.0,CCE1
2016-03-12,270.6161994932609,1.0,41.0,CCE1
2016-03-13,269.9032929257084,1.0,41.0,CCE1
2016-03-14,269.5373694322308,1.0,41.0,CCE1
2016-03-15,268.79524719696826,1.0,41.0,CCE1
2016-03-16,261.73161750203786,1.0,41.0,CCE1
2016-03-17,263.94079909398687,1.0,41.0,CCE1
2016-03-18,268.10863248859516,1.0,41.0,CCE1
2016-03-19,269.45091169552404,1.0,41.0,CCE1
2016-03-20,269.50520453422683,1.0,41.0,CCE1
2016-03-21,270.9156870165361,1.0,41.0,CCE1
2016-03-22,270.45628978840097,1.0,41.0,CCE1
2016-03-23,269.6661653608589,1.0,41.0,CCE1
2016-03-24,269.50791767615783,1.0,41.0,CCE1
2016-03-25,268.3564241266312,1.0,41.0,CCE1
2016-03-26,265.22144937848634,1.0,41.0,CCE1
2016-03-27,262.3729826101983,1.0,41.0,CCE1
2016-03-28,261.6285799711774,1.0,41.0,CCE1
2016-03-29,261.659314006706,1.0,41.0,CCE1
2016-03-30,261.34612917894646,1.0,41.0,CCE1
2016-03-31,261.37420666123,1.0,41.0,CCE1
2016-04-01,262.49050029171974,1.0,41.0,CCE1
2016-04-02,263.8893851090316,1.0,41.0,CCE1
2016-04-03,266.4553013646326,1.0,41.0,CCE1
2016-04-04,264.88885371477875,1.0,41.0,CCE1
2016-04-05,261.7666568058739,1.0,41.0,CCE1
2016-04-06,261.5474396151711,1.0,41.0,CCE1
2016-04-07,261.2059157533179,1.0,41.0,CCE1
2016-04-08,261.9725437663121,1.0,41.0,CCE1
2016-04-09,262.84625345226243,1.0,41.0,CCE1
2016-04-10,263.72296598568045,1.0,41.0,CCE1
2016-04-11,263.9299731404066,1.0,41.0,CCE1
2016-04-12,266.04179159255347,1.0,41.0,CCE1
2016-04-13,265.119471117352,1.0,41.0,CCE1
2016-04-14,264.67071581715555,1.0,41.0,CCE1
2016-04-15,267.69296368167255,1.0,41.0,CCE1
2016-04-16,267.7306832390884,1.0,41.0,CCE1
