date,station,nitrate
2009-05-18,CCE1,0.9307912382784147
2009-05-19,CCE1,0.7464905786210125
2009-05-20,CCE1,2.487649357658736
2009-05-21,CCE1,6.1851338995867735
2009-05-22,CCE1,0.8167472267363204
2009-05-23,CCE1,0.8741938872192008
2009-05-24,CCE1,0.7741405477020811
2009-05-25,CCE1,0.7303372081849614
2009-05-26,CCE1,0.7440338686678417
2009-05-27,CCE1,3.3789805291507222
2009-05-28,CCE1,1.5080938563002695
2009-05-29,CCE1,3.146373850116483
2009-05-30,CCE1,1.8538205105993635
2009-05-31,CCE1,1.3975171710822438
2009-06-01,CCE1,1.0537138315651242
2009-06-02,CCE1,1.1361604920480046
2009-06-03,CCE1,0.9494404858642184
2009-06-04,CCE1,0.6406371463470987
2009-06-05,CCE1,1.4851671401633126
2009-06-06,CCE1,1.4555304673128597
2009-06-07,CCE1,1.0175604611290734
2009-06-08,CCE1,0.8562571216119537
2009-06-09,CCE1,2.494534063537365
2009-06-10,CCE1,4.179428570545736
2009-06-11,CCE1,6.697738360447878
2009-06-12,CCE1,4.978964817016686
2009-06-13,CCE1,5.848107940252162
2009-06-14,CCE1,8.831417730154303
2009-06-15,CCE1,6.992227520056445
2009-06-16,CCE1,4.747203976625253
2009-06-17,CCE1,3.9105137665273957
2009-06-18,CCE1,2.9954902230962044
2009-06-19,CCE1,3.3696333463316797
2009-06-20,CCE1,3.809989648833103
2009-06-21,CCE1,4.219169592802629
2009-06-22,CCE1,4.307896049371438
2009-06-23,CCE1,3.9162058392735797
2009-06-24,CCE1,3.999098962509055
2009-06-25,CCE1,4.728658752411197
2009-06-26,CCE1,4.100718542313339
2009-06-27,CCE1,3.536111665548814
2009-06-28,CCE1,3.0831714554509557
2009-06-29,CCE1,3.4793979120197647
2009-06-30,CCE1,2.3347910352552397
2009-07-01,CCE1,0.9649901492497825
2009-07-02,CCE1,0.8773720143003784
2009-07-03,CCE1,1.128279853624459
2009-07-04,CCE1,0.9933543596152058
2009-07-05,CCE1,1.2175955322726197
2009-07-06,CCE1,1.2051700382633665
2009-07-07,CCE1,1.027327877587447
2009-07-08,CCE1,0.9369857169115273
2009-07-09,CCE1,0.8112268895689408
2009-07-10,CCE1,0.9979680622263546
2009-07-11,CCE1,1.085542568217102
2009-07-12,CCE1,0.865200407541182
2009-07-13,CCE1,0.8999302468560585
2009-07-14,CCE1,1.4886431813660135
2009-07-15,CCE1,1.9581721162280534
2009-07-16,CCE1,1.821451051090093
2009-07-17,CCE1,1.3438966526187992
2009-07-18,CCE1,1.7130089208141726
2009-07-19,CCE1,1.8762878556762121
2009-07-20,CCE1,2.0540588921468133
2009-07-21,CCE1,1.746179058733625
2009-07-22,CCE1,1.1786246602623314
2009-07-23,CCE1,0.9752369284577046
2009-07-24,CCE1,0.9614325299864109
2009-07-25,CCE1,1.0384614648484505
2009-07-26,CCE1,1.0917403997104904
2009-07-27,CCE1,1.1741860012391967
2009-07-28,CCE1,1.1362149361012366
2009-07-29,CCE1,0.9590772042966095
2009-07-30,CCE1,1.0761061391586493
2009-07-31,CCE1,1.388135074020689
2009-08-01,CCE1,0.8715279734342739
2009-08-02,CCE1,0.8968804665081445
2009-08-03,CCE1,1.396383304028343
2009-08-04,CCE1,1.696302808215208
2009-08-05,CCE1,1.6170556457354068
2009-08-06,CCE1,1.8736418165889386
2009-08-07,CCE1,2.144811320775804
